AllFuelsGen,CoalGen,PetroleumGen,NatGasGen,OtherGasGen,NuclearGen,HydroGen,RenewablesGen,HydroStorageGen,OtherGen,GeothermalGen,IndepGen,GDP,AvgTemp,AvgMaxTemp,AvgRelHum,Price,HydroCons,GeoCons,SolarCons,WindCons,WoodCons,WasteCons,BiofuelsCons,BiomassCons,RenCons,NatGasPrice,ResNatGasPrice,CommNatGasPrice,IndNatGasPrice,ElecPowerNatGasPrice,ElecPowerElecNetGen,CommElecNetGen,IndElecNetGen,TotElecNetGen,ElecImports,ElecExports,ElecNetImports,TDLosses,RetailElecSales,DirectElecUse,EndElecUse,ResPrice,CommPrice,IndPrice,AvgRetailPrice,ResNatGasCons,CommNatGasCons,IndLPNatGasCons,OtherIndNatGasCons,OtherNonCHPIndNatGasCons,TotIndOtherNatGasCons,TotIndNatGasCons,PDTransNatGasCons,FuelTransNatGasCons,TotTransNatGasCons,ElecPowerNatGasCons,TotNatGasCons,ElecCoalCons,ElecNatGasCons,TotRetailElecSales,TotCoalCons,CA_GDP,CoalCap,LargeHydroCap,NatGasCap,NuclearCap,OilCap,BiomassCap,GeothermalCap,SmallHydroCap,SolarPVCap,SolarThermalCap,WindCap,TotalElecCap
13419.39,143.41,15.16,7011.48,66.37,3067.78,1357.03,1610.57,-44.34,16.41,1022.45,1022.45,1628.90,59.80,70.40,61.64,11.16,159.26,13.81,4.07,4.86,166.01,30.81,22.21,219.02,401.01,4.02,7.98,6.79,3.88,3.33,266.16,0.55,12.23,278.93,2.14,0.99,1.15,13.87,252.94,13.27,266.22,8.48,7.73,4.78,7.02,360.72,230.55,91.35,108.75,510.20,618.95,710.30,47.63,1.20,48.82,350.55,1700.95,62.96,63037.92,18974.19,122.96,1628.90,429.00,11735.50,32303.33,4456.00,545.83,1139.67,2623.33,1745.17,2.00,383.33,1542.33,57132.33
14657.59,211.49,14.56,7418.12,105.88,3286.76,1685.15,1689.59,38.78,18.68,1054.53,1054.53,1627.98,52.57,60.71,54.51,11.07,199.91,14.21,3.76,6.36,169.92,31.95,22.37,224.24,448.48,3.90,7.30,6.35,3.69,3.15,292.06,0.61,12.82,305.50,3.22,0.60,2.62,25.62,268.54,13.95,282.49,8.29,7.66,4.78,7.03,609.03,346.04,94.38,115.69,526.87,642.56,736.94,59.95,1.24,61.18,367.02,2120.20,89.71,66429.15,19959.27,157.71,1627.98,429.00,11724.25,32496.17,4456.00,543.92,1139.33,2623.17,1744.58,2.00,380.67,1543.17,57309.17
14591.10,203.42,8.48,6687.45,103.44,3246.89,2515.53,1812.00,-162.15,34.22,1147.97,1052.66,1631.46,54.04,63.29,47.27,11.32,221.72,15.11,3.06,8.25,169.37,33.70,23.79,226.85,475.00,3.79,7.38,6.51,4.05,3.10,306.17,0.60,13.17,319.94,3.31,0.84,2.47,17.14,290.97,14.30,305.27,8.07,7.49,4.73,6.95,815.23,435.23,95.51,113.89,572.22,686.11,781.62,72.86,1.27,74.13,381.43,2487.64,87.30,57783.39,19863.79,153.55,1631.46,429.00,11713.00,32689.00,4456.00,542.00,1139.00,2623.00,1744.00,2.00,378.00,1544.00,57486.00
12655.47,183.98,17.69,5888.04,79.38,2868.84,1920.92,1626.95,-65.14,31.08,1010.23,912.11,1634.93,59.60,70.89,38.86,11.17,205.41,13.34,3.41,7.26,148.46,29.73,21.19,199.37,428.79,3.76,7.23,6.40,3.70,2.86,269.48,0.50,11.85,281.83,2.79,0.86,1.93,7.20,263.73,12.83,276.56,8.19,7.68,4.76,6.97,712.86,399.91,86.02,99.87,532.75,632.62,718.64,65.63,1.15,66.77,344.24,2242.43,89.90,49870.08,17781.30,151.52,1634.93,429.00,11713.00,32858.33,4456.00,542.00,1134.33,2623.00,1743.67,2.00,378.00,1546.25,57652.58
15788.66,213.43,6.82,7704.10,115.71,3227.00,2452.48,1933.86,-53.87,33.52,1117.73,1030.25,1638.40,55.29,67.77,51.49,11.35,213.72,14.68,4.82,8.67,159.64,33.92,21.04,214.60,456.49,3.84,7.10,6.28,3.78,3.37,289.32,0.57,12.65,302.55,3.31,1.79,1.53,22.88,267.46,13.74,281.20,8.17,7.72,4.73,6.95,660.43,372.85,95.65,106.89,548.96,655.85,751.50,65.87,1.27,67.14,406.52,2258.43,94.77,67319.51,18227.13,160.12,1638.41,429.00,11713.00,33027.67,4456.00,542.00,1129.67,2623.00,1743.33,2.00,378.00,1548.50,57819.17
13995.83,158.37,16.41,5634.56,114.72,3111.28,2913.90,1895.40,-0.75,27.19,1005.02,918.36,1641.88,57.28,71.43,70.29,10.99,246.66,13.29,5.28,10.42,158.34,31.60,22.43,212.37,488.02,4.21,7.66,6.56,3.64,3.80,277.13,0.55,12.18,289.85,3.41,1.73,1.68,20.37,257.95,13.21,271.16,8.37,7.68,4.73,6.95,415.20,267.21,92.00,97.36,549.17,646.53,738.53,54.44,1.23,55.67,404.38,1880.99,84.48,47627.25,18614.31,144.85,1641.88,429.00,11713.00,33197.00,4456.00,542.00,1125.00,2623.00,1743.00,2.00,378.00,1550.75,57985.75
13934.16,166.26,6.90,5661.77,105.90,2181.98,3462.76,2077.29,101.11,33.69,1100.67,1006.85,1645.35,61.90,76.97,66.93,12.11,271.24,14.39,5.90,10.96,168.01,32.90,23.84,224.76,527.24,4.07,8.54,6.68,4.07,3.78,294.52,0.57,12.59,307.68,2.39,1.77,0.63,25.31,269.32,13.67,282.99,8.64,7.84,4.78,7.11,255.08,192.07,94.80,107.13,504.85,611.97,706.78,46.15,1.27,47.42,410.11,1611.45,77.06,48577.68,18614.75,139.07,1645.35,429.00,11713.00,33366.33,4456.00,542.00,1120.33,2623.00,1742.67,2.00,378.00,1553.00,58152.33
16343.68,204.99,4.45,7874.93,144.88,2217.45,3379.49,2234.09,83.88,34.14,1050.61,946.47,1648.83,68.62,85.23,67.53,12.75,287.01,13.66,6.33,11.46,159.33,33.37,21.85,214.54,533.00,4.15,9.58,6.80,3.86,3.61,327.55,0.64,12.83,341.02,3.15,1.34,1.81,32.38,296.47,13.99,310.46,8.73,8.18,5.03,7.45,159.97,146.15,91.81,102.42,493.26,595.67,687.48,45.60,1.23,46.83,550.94,1591.37,96.47,68439.19,19525.51,154.82,1648.83,429.00,11713.00,33535.67,4456.00,542.00,1115.67,2623.00,1742.33,2.00,378.00,1555.25,58318.92
19633.14,204.38,7.88,10383.13,143.05,3168.07,3282.22,2204.89,19.37,36.57,1123.78,1016.96,1652.30,74.71,92.05,57.82,13.77,259.11,14.86,6.50,9.06,176.43,35.26,24.56,236.26,525.79,3.95,10.31,6.62,3.80,3.49,366.98,0.74,13.82,381.54,4.29,0.71,3.59,32.72,337.29,15.13,352.41,8.82,8.33,5.27,7.68,125.07,136.84,95.23,110.69,495.10,605.79,701.01,50.36,1.27,51.63,733.89,1748.44,97.50,94270.10,22334.84,157.42,1652.30,429.00,11713.00,33705.00,4456.00,542.00,1111.00,2623.00,1742.00,2.00,378.00,1557.50,58485.50
18765.89,208.09,6.91,9813.91,92.55,3195.92,3068.64,2189.72,-29.90,35.38,1122.14,1015.60,1655.78,77.00,94.33,38.08,13.27,214.49,14.50,6.33,9.94,163.56,35.43,24.98,223.96,469.22,3.67,10.44,6.45,3.62,3.42,360.35,0.80,13.44,374.59,4.07,1.11,2.96,24.65,338.12,14.79,352.90,8.72,8.24,5.15,7.58,115.68,135.72,94.00,107.94,503.88,611.82,705.82,49.64,1.27,50.91,717.59,1725.71,96.30,85237.52,22224.42,151.85,1655.78,429.00,11713.00,33874.33,4456.00,542.00,1106.33,2623.00,1741.67,2.00,378.00,1559.75,58652.08
